t,s,lateral,lateralV,speed,yawOffset,yawRate,lean,steer,slipFront,slipRear,grip,loadFracFront,longAccel,suspFront,suspRear,wheelie,airY,airVY,boost,slipstream,onRoad,airborne
1,17.388610588609463,0,0,10.561566063673672,0,0,0,0,0,0,1,0.14358983831390282,7.156865919382414,0.1045525669591903,-0.1045525669591903,0.42233929995186875,0,0,0,0.5503547194699947,1,0
1.028,17.745479722228684,0,0,10.792744397891756,0,0,0,0,0,0,1,0.14685525916950448,7.080595017969432,0.10197309453727266,-0.10197309453727266,0.40569188117606536,0,0,0,0.5761831404455144,1,0
1.051,17.92680370872139,0,0,10.90834417779438,0,0,0,0,0,0,1,0.14803106474113542,7.053131559260624,0.10082995826291495,-0.10082995826291495,0.3975034706204241,0,0,0,0.5885484257416271,1,0
1.078,18.295240802243285,0,0,11.140094420721349,0,0,0,0,0,0,1,0.14949860666211556,7.018853972963445,0.09884421966537058,-0.09884421966537058,0.3817786255651876,0,0,0,0.611633777597455,1,0
1.101,18.48236208492704,0,0,11.256358627894585,0,0,0,0,0,0,1,0.14984680065809136,7.010721156057437,0.09800189049312694,-0.09800189049312694,0.37436789624539313,0,0,0,0.6226879158932981,1,0
1.128,18.86243228202132,0,0,11.48968587605619,0,0,0,0,0,0,1,0.14999207984622853,7.007327849305948,0.09661039396186388,-0.09661039396186388,0.36065029426738693,0,0,0,0.6435534889087826,1,0
1.151,19.05539007545078,0,0,11.606749101187505,0,0,0,0,0,0,1,0.14985652692020113,7.010493978363875,0.09605432370215944,-0.09605432370215944,0.354385879889754,0,0,0,0.6535266571738132,1,0
1.178,19.447173267512674,0,0,11.841675495347731,0,0,0,0,0,0,1,0.14929209138199334,7.023677579863442,0.09519675958132712,-0.09519675958132712,0.343087939166961,0,0,0,0.6721200669324465,1,0
1.201,19.646007555308117,0,0,11.959538870881408,0,0,0,0,0,0,1,0.14889899693473235,7.032859143024466,0.09488334095208609,-0.09488334095208609,0.33805327459246887,0,0,0,0.6810017985110459,1,0
1.226,19.846809570024178,0,0,12.077669262839748,0,0,0,0,0,0,1,0.14845026449591098,7.043340250702652,0.09463832290515967,-0.09463832290515967,0.33342060080402136,0,0,0,0.6896414949748058,1,0
1.25,20.25433459646676,0,0,12.31473198172555,0,0,0,0,0,0,1,0.14742575242244615,7.067269925561437,0.09432765504893122,-0.09432765504893122,0.3253222178189979,0,0,0,0.7060819054652506,1,0
1.278,20.6697840019677,0,0,12.552864576197111,0,0,0,0,0,0,1,0.1462809955302306,7.0940081758296145,0.09421498373717703,-0.09421498373717703,0.3186984253237955,0,0,0,0.7212745786737107,1,0
1.301,20.880491494989553,0,0,12.67233243605117,0,0,0,0,0,0,1,0.14567688977644871,7.108118360221519,0.09421869111052089,-0.09421869111052089,0.3159053830697812,0,0,0,0.7285883338272506,1,0
1.329,21.307894391884634,0,0,12.912072355721369,0,0,0,0,0,0,1,0.14442354693256992,7.137392868074975,0.09432144185199959,-0.09432144185199959,0.311285312689318,0,0,0,0.7426056724909545,1,0
1.351,21.524598736928404,0,0,13.032344752661794,0,0,0,0,0,0,1,0.1437796769952297,7.1524318301828504,0.09441194600761145,-0.09441194600761145,0.3094295036761029,0,0,0,0.7494629094428632,1,0
1.378,21.964035613658268,0,0,13.273696512916127,0,0,0,0,0,0,1,0.14246676555218413,7.183097690316844,0.09465320914223535,-0.09465320914223535,0.30655605905980476,0,0,0,0.7629694475680954,1,0
1.401,22.186777124911448,0,0,13.394776744560886,0,0,0,0,0,0,1,0.1418003952179881,7.198662197408423,0.09479802333008282,-0.09479802333008282,0.30551140928050513,0,0,0,0.7696173201921753,1,0
1.428,22.63832879107181,0,0,13.637747665422102,0,0,0,0,0,0,1,0.14045291237205937,7.230135546738328,0.09512394843027527,-0.09512394843027527,0.3041420453151512,0,0,0,0.782526085648854,1,0
1.451,22.86714796207025,0,0,13.759639220726706,0,0,0,0,0,0,1,0.13977318242923875,7.246012096117067,0.09530120818200778,-0.09530120818200778,0.3037930886906063,0,0,0,0.7889337727656708,1,0
1.478,23.33089558520753,0,0,14.004236886305081,0,0,0,0,0,0,1,0.13840422498328386,7.2779870307475845,0.09567674180330162,-0.09567674180330162,0.30370995701293285,0,0,0,0.8016237000403986,1,0
1.502,23.56583310252996,0,0,14.126943934664498,0,0,0,0,0,0,1,0.13771571888892037,7.2940685659516475,0.09587266993471665,-0.09587266993471665,0.30395465387198095,0,0,0,0.8078304658333803,1,0
1.528,24.04185826219597,0,0,14.373176422182596,0,0,0,0,0,0,1,0.13633214096303503,7.3263849932205405,0.09627635412353404,-0.09627635412353404,0.30496745011860993,0,0,0,0.8201286788844346,1,0
1.551,24.2829550124829,0,0,14.496702808515321,0,0,0,0,0,0,1,0.13563742744865248,7.34261151602076,0.09648275536377782,-0.09648275536377782,0.30571735108363834,0,0,0,0.8261481394670613,1,0
1.576,24.526113959468294,0,0,14.62050310959363,0,0,0,0,0,0,1,0.13494101689750637,7.358877676751103,0.09669148874549391,-0.09669148874549391,0.3066182117109633,0,0,0,0.832146059466141,1,0
1.601,25.01863673741531,0,0,14.868927385534777,0,0,0,0,0,0,1,0.13354344025186865,7.391521074117068,0.09711438594823718,-0.09711438594823718,0.3088413163000997,0,0,0,0.8439374836243366,1,0
1.627,25.519463255830786,0,0,15.118452785006333,0,0,0,0,0,0,1,0.1321400678768649,7.4242998431617995,0.09754261064967608,-0.09754261064967608,0.31157784243694137,0,0,0,0.8555201916781285,1,0
1.651,25.773001906541325,0,0,15.24362955321871,0,0,0,0,0,0,1,0.13143632804013444,7.440737195062575,0.09775820481302877,-0.09775820481302877,0.3131219202122397,0,0,0,0.8612556913097144,1,0
1.678,26.28635303820671,0,0,15.49481360672921,0,0,0,0,0,0,1,0.13002487382064792,7.473704732903439,0.09819167048510623,-0.09819167048510623,0.3165314026697504,0,0,0,0.8725561505871776,1,0
1.701,26.54617476015498,0,0,15.620821728492588,0,0,0,0,0,0,1,0.12931725287037754,7.490232736527611,0.09840935231918008,-0.09840935231918008,0.31838565872621105,0,0,0,0.878161314759552,1,0
1.728,27.072133678535412,0,0,15.873672735813345,0,0,0,0,0,0,1,0.127898166476276,7.523378540161269,0.09884628957605027,-0.09884628957605027,0.3223676077119323,0,0,0,0.8892226371730464,1,0
1.752,27.338280163702226,0,0,16.000516493935198,0,0,0,0,0,0,1,0.12718676154929054,7.539994926670143,0.09906545957793877,-0.09906545957793877,0.3244859035127158,0,0,0,0.8947181605369144,1,0
1.777,27.876928563808814,0,0,16.254890467644554,0,0,0,0,0,0,1,0.12583466543868943,7.571576028682041,0.09950454627059654,-0.09950454627059654,0.32893978009842606,0,0,0,0.8073131523812458,1,0
1.801,28.149435390009707,0,0,16.382270837910383,0,0,0,0,0,0,1,0.12525344745494066,7.585151620159601,0.09972272719966949,-0.09972272719966949,0.33123508174609095,0,0,0,0.7671089573926588,1,0
1.828,28.700825278239225,0,0,16.63743136973243,0,0,0,0,0,0,1,0.12421854943840976,7.609323880974287,0.10014958086369342,-0.10014958086369342,0.33588318454896543,0,0,0,0.6923886940556474,1,0
1.851,28.979712844022306,0,0,16.76521583113434,0,0,0,0,0,0,1,0.12374720892465618,7.620333048688388,0.10035575440921711,-0.10035575440921711,0.33821512342809507,0,0,0,0.6577000204834599,1,0
1.878,29.543884728049093,0,0,17.02120203203516,0,0,0,0,0,0,1,0.1228653874873798,7.640929877973344,0.10074926935525251,-0.10074926935525251,0.3428612650393009,0,0,0,0.5934493120594315,1,0
1.901,29.82917374276094,0,0,17.149407696204253,0,0,0,0,0,0,1,0.12244560803680465,7.6507347265689205,0.10093573860652565,-0.10093573860652565,0.34516742507767134,0,0,0,0.5638955363188711,1,0
1.928,30.406169927019615,0,0,17.406255207892038,0,0,0,0,0,0,1,0.12163074235428739,7.66976766072486,0.10128781727921801,-0.10128781727921801,0.3497352891483558,0,0,0,0.5089692803258205,1,0
1.951,30.697881988128106,0,0,17.53489989655785,0,0,0,0,0,0,1,0.12123130419413741,7.679097394894078,0.10145390340919343,-0.10145390340919343,0.351995270587307,0,0,0,0.48346991938149714,1,0
1.976,30.991739995421632,0,0,17.663693885133416,0,0,0,0,0,0,1,0.12083490101695415,7.688356240532572,0.10161389366670115,-0.10161389366670115,0.3542390501920622,0,0,0,0.4592480764204844,1,0
2.001,31.58590390598248,0,0,17.92173600225011,0,0,0,0,0,0,1,0.12004610199369686,7.706780332004366,0.10191768210977921,-0.10191768210977921,0.3586796951173111,0,0,0,0.41451500835178534,1,0
2.028,32.18868204180975,0,0,18.180394352201176,0,0,0,0,0,0,1,0.1192562834110103,7.725228237471403,0.10220369251292294,-0.10220369251292294,0.363063195335106,0,0,0,0.3740210413310499,1,0
2.051,32.49330791463149,0,0,18.309957646402136,0,0,0,0,0,0,1,0.11885970762509945,7.734491114756607,0.10234146121991618,-0.10234146121991618,0.3652360360774698,0,0,0,0.3553947934727632,1,0
2.078,33.10904641439815,0,0,18.569560063933785,0,0,0,0,0,0,1,0.11806074694810004,7.7531525534265215,0.10260917604307872,-0.10260917604307872,0.36954963320186446,0,0,0,0.32067624766682584,1,0
2.102,33.42016435313612,0,0,18.699600655869734,0,0,0,0,0,0,1,0.11765839450139398,7.762550357003156,0.10274006737268093,-0.10274006737268093,0.3716926482342352,0,0,0,0.3047065705330176,1,0
2.127,34.04891102512184,0,0,18.960167237685557,0,0,0,0,0,0,1,0.11684660529250451,7.781511433525074,0.10299793746850285,-0.10299793746850285,0.37595662559843956,0,0,0,0.2750266209361174,1,0
2.151,34.366545179702285,0,0,19.090695196078435,0,0,0,0,0,0,1,0.11643709504820948,7.791076422802537,0.10312558884809306,-0.10312558884809306,0.3780796989720506,0,0,0,0.2612477872272181,1,0
2.178,35.00834879512141,0,0,19.352244649129815,0,0,0,0,0,0,1,0.11561107163845702,7.810369969587469,0.10337968422680933,-0.10337968422680933,0.38231285776097157,0,0,0,0.23580094128739504,1,0
2.201,35.332523767469695,0,0,19.483267830927446,0,0,0,0,0,0,1,0.11519463178001471,7.820096814852514,0.10350655449324567,-0.10350655449324567,0.3844247018747976,0,0,0,0.22398731412889666,1,0
2.228,35.987423557343455,0,0,19.74511619037549,0,0,0,0,0,0,1,0.11468720418095069,7.83194887377351,0.10375760299728343,-0.10375760299728343,0.38855970747698143,0,0,0,0.20216982531642508,1,0
2.251,36.31814116186901,0,0,19.87568732478863,0,0,0,0,0,0,1,0.11466954391056594,7.832361367231782,0.10387647626444085,-0.10387647626444085,0.3904976212978139,0,0,0,0.19204111706807228,1,0
2.277,36.986092235278775,0,0,20.136126740845402,0,0,0,0,0,0,1,0.11496495957701608,7.825461301308268,0.10408311780405617,-0.10408311780405617,0.39396764491752445,0,0,0,0.17333534821923427,1,0
2.301,37.3233179164463,0,0,20.26599634478329,0,0,0,0,0,0,1,0.11523694427149356,7.819108515944402,0.10416457672088329,-0.10416457672088329,0.39546499609733055,0,0,0,0.16465124727345073,1,0
2.328,38.00425016690932,0,0,20.525038156062134,0,0,0,0,0,0,1,0.1159545239131769,7.802347905742227,0.10427299457542213,-0.10427299457542213,0.39793828766191136,0,0,0,0.14861338923975526,1,0
2.351,38.347949007727365,0,0,20.65421173686794,0,0,0,0,0,0,1,0.1163782203714096,7.79245156703922,0.10429779643193395,-0.10429779643193395,0.3989074327602822,0,0,0,0.1411678584388436,1,0
2.379,39.04179286761064,0,0,20.911866608154213,0,0,0,0,0,0,1,0.11731588506525276,7.770550398833026,0.10428783662342925,-0.10428783662342925,0.4003129833332755,0,0,0,0.1274174003642508,1,0
2.401,39.39193021046535,0,0,21.040348858501936,0,0,0,0,0,0,1,0.11781836016536529,7.75881401613754,0.10425420776598726,-0.10425420776598726,0.4007555481122111,0,0,0,0.12107201382611132,1,0
2.428,40.09861658577367,0,0,21.296625181080056,0,0,0,0,0,0,1,0.11886966241897828,7.734258599213865,0.10413481622069352,-0.10413481622069352,0.40114378346546203,0,0,0,0.10924447910967722,1,0
2.451,40.455157981806,0,0,21.424420046958662,0,0,0,0,0,0,1,0.11941242993100881,7.7215811008971516,0.1040516678240311,-0.1040516678240311,0.40110087313346254,0,0,0,0.10377133070628244,1,0
2.478,41.17461815276799,0,0,21.679325002518453,0,0,0,0,0,0,1,0.12052123347588467,7.695682618098981,0.10384551652308095,-0.10384551652308095,0.40057219280426637,0,0,0,0.09366348216341033,1,0
2.501,41.53752933008331,0,0,21.80643574859079,0,0,0,0,0,0,1,0.12108411810288455,7.6825352414540555,0.10372532200000904,-0.10372532200000904,0.40009933691376415,0,0,0,0.08897094170702352,1,0
2.528,42.26969490620718,0,0,22.05997509206127,0,0,0,0,0,0,1,0.12222122048306311,7.6559757787170275,0.1034572702231059,-0.1034572702231059,0.3987687389946998,0,0,0,0.08030472535063202,1,0
2.551,42.63894173552949,0,0,22.18640436498258,0,0,0,0,0,0,1,0.12279373044041514,7.642603581856019,0.10331178111441223,-0.10331178111441223,0.39792356593962036,0,0,0,0.0762814586105654,1,0
2.579,43.38374458399617,0,0,22.438583118213376,0,0,0,0,0,0,1,0.12394386430291016,7.6157397409248855,0.10300303155373382,-0.10300303155373382,0.3959036202272236,0,0,0,0.06885126160897406,1,0
2.601,43.75929305689713,0,0,22.56433300656896,0,0,0,0,0,0,1,0.12452067451427606,7.602267102416553,0.10284151907197338,-0.10284151907197338,0.39474029064808014,0,0,0,0.0654018134023645,1,0
2.628,44.51666525265454,0,0,22.815154566858148,0,0,0,0,0,0,1,0.12567639740063752,7.575272717856539,0.10250783840875372,-0.10250783840875372,0.3921337826489821,0,0,0,0.05903134845987089,1,0
2.651,44.89848144590475,0,0,22.94022665958117,0,0,0,0,0,0,1,0.12625485256964553,7.5617616578375655,0.10233684421246296,-0.10233684421246296,0.39070066030405554,0,0,0,0.05607387790203139,1,0
2.678,45.66835521528685,0,0,23.189693878362494,0,0,0,0,0,0,1,0.12741241655557117,7.534724270452017,0.10198888965953015,-0.10198888965953015,0.38759804352603916,0,0,0,0.05061200070350643,1,0
2.701,46.056405274098424,0,0,23.314089318293867,0,0,0,0,0,0,1,0.12799129579482665,7.521203305363693,0.10181266124472725,-0.10181266124472725,0.3859372069672718,0,0,0,0.04807633946826079,1,0
2.728,46.83871295729378,0,0,23.562204073766992,0,0,0,0,0,0,1,0.12914909711130979,7.494160374614409,0.10145711299020829,-0.10145711299020829,0.382416456533363,0,0,0,0.04339346266082803,1,0
2.751,47.23296307230094,0,0,23.685923608652402,0,0,0,0,0,0,1,0.12972790911594856,7.4806409799346305,0.10127821885450855,-0.10127821885450855,0.3805639054415604,0,0,0,0.04123246822031887,1,0
